SessionNumber,DateTime,Device,Assessment,StartTime,StopTime,GameName,TrialDataFileLocation,DeviceSetupLocation,AssistMode,AssistModeParameters,GameParameter,Duration,Date,SessionDuration
1,23-07-2024 14:22:26,R2,1,2024-07-23 14:22:26,2024-07-23 14:24:08,ASSESSMENT,..\Assets\Patient_Data\1773j\23-07-2024\assessment_Data\assessment_23072024_142226.csv,Null,Null,Null,Null,102.0,23-07-2024,400.0
1,23-07-2024 14:24:11,R2,1,2024-07-23 14:24:11,2024-07-23 14:25:08,CALIBRATION,..\Assets\Patient_Data\1773j\23-07-2024\calibration\calibration_23072024_142411.csv,Null,Null,Null,Null,57.0,23-07-2024,400.0
1,23-07-2024 14:25:12,R2,0,2024-07-23 14:25:12,2024-07-23 14:28:14,SPACESHOOTER,..\Assets\Patient_Data\1773j\23-07-2024\spaceshooter\space_23072024_142512.csv,Null,Null,Null,||0.5||0.3,182.0,23-07-2024,400.0
1,23-07-2024 14:28:21,R2,0,2024-07-23 14:28:23,2024-07-23 14:28:51,TUK-TUK,..\Assets\Patient_Data\1773j\23-07-2024\flappy_Data\FlappyGameData_23072024_142821.csv,,Null,Null,||-2,28.0,23-07-2024,400.0
1,23-07-2024 14:30:31,R2,0,2024-07-23 14:30:31,2024-07-23 14:31:02,PING-PONG,..\Assets\Patient_Data\1773j\23-07-2024\Pong_Data\Pong_23072024_143031.csv,Null,Null,Null,||1||1.2,31.0,23-07-2024,400.0
2,24-07-2024 09:43:37,R2,1,2024-07-24 09:43:37,2024-07-24 09:43:48,CALIBRATION,..\Assets\Patient_Data\1773j\24-07-2024\calibration\calibration_24072024_094337.csv,Null,Null,Null,Null,11.0,24-07-2024,83.0
2,24-07-2024 09:43:49,R2,1,2024-07-24 09:43:49,2024-07-24 09:44:11,CALIBRATION,..\Assets\Patient_Data\1773j\24-07-2024\calibration\calibration_24072024_094349.csv,Null,Null,Null,Null,22.0,24-07-2024,83.0
2,24-07-2024 09:44:14,R2,1,2024-07-24 09:44:14,2024-07-24 09:45:04,ASSESSMENT,..\Assets\Patient_Data\1773j\24-07-2024\assessment_Data\assessment_24072024_094414.csv,Null,Null,Null,Null,50.0,24-07-2024,83.0
3,24-07-2024 09:47:41,R2,0,2024-07-24 09:47:41,2024-07-24 09:49:47,SPACESHOOTER,..\Assets\Patient_Data\1773j\24-07-2024\spaceshooter\space_24072024_094742.csv,Null,Null,Null,||0.5||0.3,126.0,24-07-2024,928.0
3,24-07-2024 09:49:52,R2,0,2024-07-24 09:49:53,2024-07-24 09:50:21,TUK-TUK,..\Assets\Patient_Data\1773j\24-07-2024\flappy_Data\FlappyGameData_24072024_094952.csv,,Null,Null,||-2,28.0,24-07-2024,928.0
3,24-07-2024 09:50:32,R2,0,2024-07-24 09:50:32,2024-07-24 09:51:14,PING-PONG,..\Assets\Patient_Data\1773j\24-07-2024\Pong_Data\Pong_24072024_095032.csv,Null,Null,Null,||1||1.2,42.0,24-07-2024,928.0
3,24-07-2024 09:51:24,R2,0,2024-07-24 09:51:25,2024-07-24 09:52:01,TUK-TUK,..\Assets\Patient_Data\1773j\24-07-2024\flappy_Data\FlappyGameData_24072024_095124.csv,,Null,Null,||-2,36.0,24-07-2024,928.0
3,24-07-2024 09:52:13,R2,0,2024-07-24 09:52:15,2024-07-24 09:52:43,TUK-TUK,..\Assets\Patient_Data\1773j\24-07-2024\flappy_Data\FlappyGameData_24072024_095213.csv,,Null,Null,||-2,28.0,24-07-2024,928.0
3,24-07-2024 09:52:51,R2,0,2024-07-24 09:52:51,2024-07-24 09:57:56,SPACESHOOTER,..\Assets\Patient_Data\1773j\24-07-2024\spaceshooter\space_24072024_095251.csv,Null,Null,Null,||0.5||0.3,305.0,24-07-2024,928.0
3,24-07-2024 09:58:00,R2,0,2024-07-24 09:58:00,2024-07-24 10:00:44,SPACESHOOTER,..\Assets\Patient_Data\1773j\24-07-2024\spaceshooter\space_24072024_095800.csv,Null,Null,Null,||0.5||0.3,164.0,24-07-2024,928.0
3,24-07-2024 10:01:05,R2,0,2024-07-24 10:01:05,2024-07-24 10:01:05,PING-PONG,..\Assets\Patient_Data\1773j\24-07-2024\Pong_Data\Pong_24072024_100105.csv,Null,Null,Null,||1||1.2,0.0,24-07-2024,928.0
3,24-07-2024 10:02:18,R2,0,2024-07-24 10:02:18,2024-07-24 10:03:55,SPACESHOOTER,..\Assets\Patient_Data\1773j\24-07-2024\spaceshooter\space_24072024_100218.csv,Null,Null,Null,||0.5||0.3,97.0,24-07-2024,928.0
3,24-07-2024 10:03:59,R2,0,2024-07-24 10:03:59,2024-07-24 10:05:41,SPACESHOOTER,..\Assets\Patient_Data\1773j\24-07-2024\spaceshooter\space_24072024_100359.csv,Null,Null,Null,||0.5||0.3,102.0,24-07-2024,928.0
3,24-07-2024 10:06:04,R2,0,2024-07-24 10:06:04,2024-07-24 10:06:04,PING-PONG,..\Assets\Patient_Data\1773j\24-07-2024\Pong_Data\Pong_24072024_100604.csv,Null,Null,Null,||1||1.2,0.0,24-07-2024,928.0
4,25-07-2024 11:54:23,R2,0,2024-07-25 11:54:23,2024-07-25 11:54:28,SPACESHOOTER,..\Assets\Patient_Data\1773j\25-07-2024\spaceshooter\space_25072024_115423.csv,Null,Null,Null,||0.5,5.0,25-07-2024,21.0
4,25-07-2024 11:54:31,R2,0,2024-07-25 11:54:32,2024-07-25 11:54:39,TUK-TUK,..\Assets\Patient_Data\1773j\25-07-2024\flappy_Data\FlappyGameData_25072024_115431.csv,,Null,Null,||-2,7.0,25-07-2024,21.0
4,25-07-2024 11:54:47,R2,0,2024-07-25 11:54:47,2024-07-25 11:54:51,PING-PONG,..\Assets\Patient_Data\1773j\25-07-2024\Pong_Data\Pong_25072024_115447.csv,Null,Null,Null,||1||0,4.0,25-07-2024,21.0
4,25-07-2024 11:54:59,R2,1,2024-07-25 11:54:59,2024-07-25 11:55:04,ASSESSMENT,..\Assets\Patient_Data\1773j\25-07-2024\assessment_Data\assessment_25072024_115459.csv,Null,Null,Null,Null,5.0,25-07-2024,21.0
